name,height_in,weight_lbs,reach_in
Hannah Goldy,64,250,61
Hans Stringer,75,240,73
Hatsu Hioki,71,168,70
Hayder Hassan,70,250,70
Heath Herring,76,115,78
Heather Jo Clark,66,170,64
Hector Aldana,71,185,72
Hector Lombard,69,205,71
Hector Sandoval,62,170,64
Hector Urbina,71,185,73
Henrique da Silva,75,135,76
Henry Briones,68,135,69
Henry Cejudo,64,145,64
Henry Martinez,67,270,68
Hermes Franca,66,170,71
Hernani Perpetuo,72,215,74
Hiromitsu Miura,69,205,71
Holly Holm,68,205,69
Horacio Gutierrez,70,205,69
Houston Alexander,72,210,72
Hu Yaozong,75,155,72
Hugo Viana,66,145,67
Humberto Brown,70,135,71
Hyun Gyu Lim,75,155,77
Ian Entwistle,65,225,64
Ian Heinisch,71,145,72
Ian McCall,65,185,64
Igor Araujo,73,235,77
Igor Pokrajac,72,205,76
Ildemar Alcantara,74,125,78
Iliarde Santos,65,125,66
Ilir Latifi,70,205,73
Ion Cutelaba,73,145,75
Irene Aldana,69,155,68
Isaac Vallie-Flagg,68,155,68
Islam Makhachev,70,170,70
Ismail Naurdiev,70,185,74
Israel Adesanya,76,155,80
Issei Tamura,65,135,63
Iuri Alcantara,69,135,71
Ivan Jorge,69,135,73
Ivan Menjivar,66,185,64
Ivan Shtyrkov,72,115,74
JC Cottrell,69,170,71
JJ Aldrich,65,155,67
JP Buys,66,185,66
JR Coughran,66,185,71
Jacare Souza,73,185,72
Jack Hermansson,73,255,77
Jack Marshman,72,205,73
Jack May,80,135,79
Jacob Kilburn,69,155,71
Jacob Volkmann,69,170,71
Jaime Alvarez,68,125,69
Jairzinho Rozenstruik,76,170,78
Jake Collier,75,170,78
Jake Ellenberger,69,155,71
Jake Hecht,72,170,76
Jake Lindsey,71,205,71
Jake Matthews,71,185,73
Jake O'Brien,75,170,76
Jake Shields,72,155,72
Jalin Turner,75,145,77
Jamall Emmers,70,205,74
Jameel Massouh,70,145,72
Jamelle Jones,72,205,75
James Bochnovic,76,135,81
James Head,73,170,73
James Irvin,74,205,75
James Krause,74,230,73
James McSweeney,76,243,77
James Moontasri,70,155,71
James Mulheron,70,185,73
James Te Huna,74,265,75
James Vick,75,155,76
James Wallace,70,205,69
James Wilks,73,115,75
Jamie Colleen,63,185,65
Jamie Moyle,61,155,65
Jamie Pickett,74,185,80
Jamie Varner,68,205,72
Jan Blachowicz,74,310,78
Jared Cannonier,71,155,77
Jared Gordon,69,135,68
Jared Hamman,75,170,75
Jared Papazian,68,265,67
Jared Rosholt,74,125,75
Jarjis Danho,75,185,74
Jarred Brooks,63,155,62
Jason Brilz,71,185,71
Jason Day,72,155,72
Jason Dent,70,225,71
Jason Gonzalez,74,155,74
Jason High,68,170,71
Jason Jackson,73,185,78
Jason Knight,70,185,71
Jason Lambert,75,145,75
Jason MacDonald,75,180,80
Jason Miller,73,135,72
Jason Novelli,72,245,75
Jason Saggo,71,170,71
Jason Young,69,145,73
Javier Vazquez,67,155,69
Jay Hieron,72,185,75
Jeff Curran,66,250,69
Jeff Hougland,67,170,68
Jeff Hughes,74,247,78
Jeff Monson,69,205,74
Jenel Lausa,65,125,68
Jennifer Maia,64,205,64
Jens Pulver,67,240,70
Jeremy Horn,73,145,74
Jeremy Kennedy,71,205,71
Jeremy Kimball,72,145,72
Jeremy Larsen,70,185,70
Jeremy Stephens,68,200,71
Jerrod Sanders,68,170,72
Jess Liaudin,69,170,72
Jessamyn Duke,71,185,73
Jesse Forbes,74,170,75
Jesse Lennox,69,170,72
Jesse Ronson,70,115,72
Jesse Taylor,72,125,73
Jessica Aguilar,63,115,63
Jessica Andrade,61,115,62
Jessica Eye,66,125,66
Jessica Penne,65,155,67
Jessica Rakoczy,67,155,68
Jessica-Rose Clark,65,125,64
Jessin Ayari,72,145,73
Ji Yeon Kim,67,155,72
Jianping Yang,67,215,65
Jim Alers,69,205,71
Jim Miller,68,135,71
Jimi Manuwa,73,205,79
Jimmie Rivera,64,185,68
Jimmy Crute,74,145,74
Jimmy Quinlan,72,205,72
Jimmy Wallhead,70,135,73
Jimy Hettes,69,205,71
Jin Soo Son,66,125,69
Joachim Christensen,75,125,76
Joanna Jedrzejczyk,66,155,65
Joanne Calderwood,66,155,65
Joao Zeferino,71,115,73
Joaquim Silva,68,115,69
Joby Sanchez,66,170,68
Jocelyn Jones-Lybarger,67,155,64
Jodie Esquibel,61,155,64
Joe Doerksen,72,155,75
Joe Duffy,70,185,73
Joe Ellenberger,69,155,72
Joe Giannetti,72,155,74
Joe Gigliotti,71,155,69
Joe Lauzon,70,170,71
Joe Lowry,70,195,72
Joe Merritt,72,210,73
Joe Proctor,70,199,72
Joe Riggs,72,236,70
Joe Soto,66,185,65
Joe Stevenson,67,155,70
Joel Alvarez,75,185,77
Joey Beltran,73,155,75
Joey Gomez,70,170,71
John Albert,68,235,68
John Alessio,70,135,72
John Castaneda,67,275,70
John Cholish,71,135,72
John Cofer,69,145,73
John Dodson,63,145,66
John Franchi,66,155,67
John Gunderson,69,170,69
John Gunther,69,135,72
John Hathaway,73,170,75
John Howard,67,155,71
John Lineker,63,155,67
John Maguire,69,400,69
John Makdessi,68,125,68
John Moraga,66,155,66
John Phillips,71,190,75
John Salter,73,155,74
Johnny Bedford,70,135,71
Johnny Case,70,170,72
Johnny Eduardo,67,170,71
Johnny Walker,77,170,82
Johny Hendricks,69,295,69
Jon Delos Reyes,66,205,67
Jon Fitch,72,170,76
Jon Jones,76,170,84
Jon Madsen,72,253,72
Jon Manley,73,155,75
Jon Tuck,71,145,73
Jonathan Brookins,72,170,73
Jonathan Goulet,72,155,73
Jonathan Martinez,68,125,70
Jonathan Meunier,75,250,75
Jonathan Pearce,72,205,71
Jonathan Wilson,74,240,75
Jonavin Webb,70,139,71
Jordan Espinosa,66,170,71
Jordan Griffin,70,145,72
Jordan Johnson,74,185,79
Jordan Mein,72,145,73
Jordan Rinaldi,70,155,72
Jordan Williams,72,205,75
Jordan Wright,74,170,77
Jorge Gurgel,67,170,69
Jorge Masvidal,71,170,74
Jorge Rivera,73,205,73
Jorge Santiago,73,145,74
Jorge de Oliveira,68,240,71
Jose Aldo,67,125,70
Jose Quinonez,68,125,69
Jose Torres,64,135,65
Joseph Benavidez,64,155,65
Joseph Morales,66,255,69
Joseph Solecki,69,259,71
Josh Appelt,70,185,73
Josh Barnett,75,170,78
Josh Clopton,66,145,68
Josh Copeland,73,125,75
Josh Emmett,66,170,70
Josh Ferguson,65,235,66
Josh Grispi,71,185,74
Josh Janousek,71,185,73
Josh Koscheck,70,170,73
Josh Neer,71,145,72
Josh Samman,75,235,79
Josh Shockley,73,205,74
Josh Stansbury,74,170,74
Josh Thomson,70,125,71
Joshua Burkman,70,250,72
Joshua Sampo,64,190,64
Juan Adams,77,145,80
Juan Espino,76,205,82
Juan Puig,69,145,72
Julia Budd,67,300,67
Julian Erosa,73,115,74
Julian Marquez,74,135,75
Juliana Lima,65,145,65
Julianna Pena,66,145,69
Julie Kedzie,65,145,64
Julija Stoliarenko,67,170,66
Julio Arce,67,135,70
Jumabieke Tuerxun,67,264,67
Junior Albini,75,238,74
Junior Assuncao,69,135,72
Junior Dos Santos,76,170,77
Junior Hernandez,69,155,69
Jussier Formiga,65,205,67
Justin Buchholz,72,235,73
Justin Edwards,70,155,70
Justin Frazier,72,170,75
Justin Gaethje,71,170,70
Justin Gonzales,69,205,72
Justin Jones,71,185,78
Justin Lawrence,68,185,67
Justin Ledet,76,225,80
Justin McCully,73,135,73
Justin Salas,68,264,70
Justin Scoggins,67,265,66
Justin Sumter,74,125,80
Justin Willis,73,155,78
Justine Kish,65,115,64
KJ Noons,70,155,72
Kai Kara-France,65,155,69
Kailin Curran,64,115,65
Kajan Johnson,71,125,75
Kali Robbins,63,155,63
Kalib Starnes,75,170,74
Kamal Shalorus,68,125,68
Kamaru Usman,72,185,76
Karen Darabedyan,67,205,68
Karine Gevorgyan,64,113,63
Karl Reed,75,170,78
Karl Roberson,73,135,74
Karlos Vemola,72,125,75
Karo Parisyan,70,154,72
Karolina Kowalkiewicz,63,145,64
Katlyn Chookagian,69,168,68
Katsunori Kikuno,68,205,66
Kazuhiro Nakamura,71,220,70
Kazuki Tokudome,71,185,73
Keita Nakamura,71,185,73
Keith Berish,72,185,73
Keith Jardine,74,155,76
Keith Wisniewski,72,135,75
Kelly Faszholz,68,161,67
Kelvin Gastelum,69,185,71
Ken Shamrock,73,220,72
Ken Stone,68,170,71
Kendall Grove,78,145,79
Kenji Osawa,67,145,66
Kenneth Bergh,74,170,76
Kenny Florian,70,265,74
Kenny Robertson,70,200,74
Ketlen Vieira,68,170,68
Kevin Aguilar,67,235,73
Kevin Burns,70,125,74
Kevin Casey,71,205,77
Kevin Gray,64,245,67
Kevin Holland,75,170,81
Kevin Lee,69,145,77
Kevin Souza,72,185,74
Khabib Nurmagomedov,70,205,70
Khalid Murtazaliev,72,170,76
